"selection1_image","selection1_name","selection1_name_url","selection1_cost","selection1_cost_url"
"https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/5/0/509e26710041302_1.jpg?rnd=20200526195200&tr=w-256","Womens Solid Color Hip Hugging Pencil Shaped Casual Mini Dress Black","https://www.nykaafashion.com/oh-rare-womens-solid-color-hip-hugging-pencil-shaped-casual-mini-dress-black/p/15018130","₹3,555","https://www.nykaafashion.com/oh-rare-womens-solid-color-hip-hugging-pencil-shaped-casual-mini-dress-black/p/15018130"
"https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/5/0/509e26710041303_1.jpg?rnd=20200526195200&tr=w-256","Womens Solid Color Hip Hugging Pencil Shaped Casual Mini Dress Orange","https://www.nykaafashion.com/oh-rare-womens-solid-color-hip-hugging-pencil-shaped-casual-mini-dress-orange/p/15018131","₹3,555","https://www.nykaafashion.com/oh-rare-womens-solid-color-hip-hugging-pencil-shaped-casual-mini-dress-orange/p/15018131"
"https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/5/0/509e26710041301_1.jpg?rnd=20200526195200&tr=w-256","Womens Solid Color Hip Hugging Pencil Shaped Casual Mini Dress Beige","https://www.nykaafashion.com/oh-rare-womens-solid-color-hip-hugging-pencil-shaped-casual-mini-dress-beige/p/15018129","₹3,555","https://www.nykaafashion.com/oh-rare-womens-solid-color-hip-hugging-pencil-shaped-casual-mini-dress-beige/p/15018129"
"https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/5/0/509e26710041304_1.jpg?rnd=20200526195200&tr=w-256","Womens Solid Color Hip Hugging Pencil Shaped Casual Mini Dress White","https://www.nykaafashion.com/oh-rare-womens-solid-color-hip-hugging-pencil-shaped-casual-mini-dress-white/p/15018132","₹3,555","https://www.nykaafashion.com/oh-rare-womens-solid-color-hip-hugging-pencil-shaped-casual-mini-dress-white/p/15018132"
"https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/c/a/ca6505424413WC05BLK_1.jpg?rnd=20200526195200&tr=w-256","Hourglass Waistcoat Dress","https://www.nykaafashion.com/qua-hourglass-waistcoat-dress/p/16186185","₹4,995","https://www.nykaafashion.com/qua-hourglass-waistcoat-dress/p/16186185"
"https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/f/8/f8c2538NAKDX00014099_1.jpg?rnd=20200526195200&tr=w-256","Shaped Cups Satin Mini Dress-Brown Leopard","https://www.nykaafashion.com/na-kd-shaped-cups-satin-mini-dress-brown-leopard/p/6055037","₹4,475","https://www.nykaafashion.com/na-kd-shaped-cups-satin-mini-dress-brown-leopard/p/6055037"
"https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/c/2/c211115CULR-WR1_1.jpg?rnd=20200526195200&tr=w-256","Plum Hourglass Romper","https://www.nykaafashion.com/cultnaked-plum-hourglass-romper/p/13843342","₹27,435","https://www.nykaafashion.com/cultnaked-plum-hourglass-romper/p/13843342"
"https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/9/6/9693aed230309DS02LVD_1.jpg?rnd=20200526195200&tr=w-256","Hourglass Shirt Lavender Dress","https://www.nykaafashion.com/qua-hourglass-shirt-lavender-dress/p/10613599","₹3,295","https://www.nykaafashion.com/qua-hourglass-shirt-lavender-dress/p/10613599"
"https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/4/e/4e49b52LIOR-WD55_1.jpg?rnd=20200526195200&tr=w-256","Heart Shaped Maxi","https://www.nykaafashion.com/lioness-heart-shaped-maxi/p/13531012","₹10,399","https://www.nykaafashion.com/lioness-heart-shaped-maxi/p/13531012"
"https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/8/2/82f4c5aWW-Aquarius_1.jpg?rnd=20200526195200&tr=w-256","Aquarius Blue Boat Neck Shaped Shift Dress","https://www.nykaafashion.com/salt-attire-aquarius-blue-boat-neck-shaped-shift-dress/p/14457569","₹2,565","https://www.nykaafashion.com/salt-attire-aquarius-blue-boat-neck-shaped-shift-dress/p/14457569"
"https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/8/2/82f4c5aWW-Sea-Star_1.jpg?rnd=20200526195200&tr=w-256","Sea Star Purple Shaped Shift Dress","https://www.nykaafashion.com/salt-attire-sea-star-purple-shaped-shift-dress/p/14457758","₹1,568","https://www.nykaafashion.com/salt-attire-sea-star-purple-shaped-shift-dress/p/14457758"
"https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/c/8/c8156c0CULR-WD1_1.jpg?rnd=20200526195200&tr=w-256","Hourglass Mini Dress","https://www.nykaafashion.com/cultnaked-hourglass-mini-dress/p/10372265","₹27,440","https://www.nykaafashion.com/cultnaked-hourglass-mini-dress/p/10372265"
"https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/8/2/82f4c5aWW-Ruby_1.jpg?rnd=20200526195200&tr=w-256","Ruby Red Shaped Shift Dress","https://www.nykaafashion.com/salt-attire-ruby-red-shaped-shift-dress/p/14457753","₹2,385","https://www.nykaafashion.com/salt-attire-ruby-red-shaped-shift-dress/p/14457753"
