"selection1_dress_name","selection1_cost","selection1_cost_url","selection1_image","selection1_image_url"
"Moonstruck","₹2,070","https://www.nykaafashion.com/moonstruck-sleeveless-straight-body-fit-mid-waist-cut-out-dress/p/14272445","https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/4/2/42112e4MAAD3981_2.jpg?rnd=20200526195200&tr=w-256","https://www.nykaafashion.com/moonstruck-sleeveless-straight-body-fit-mid-waist-cut-out-dress/p/14272445"
"SOTBELLA","₹5,700","https://www.nykaafashion.com/sotbella-metallic-sweetheart-neck-line-cut-out-body-con-dress/p/15536427","https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/7/2/722e8011971082_1.jpg?rnd=20200526195200&tr=w-256","https://www.nykaafashion.com/sotbella-metallic-sweetheart-neck-line-cut-out-body-con-dress/p/15536427"
"Odette","₹2,892","https://www.nykaafashion.com/odette-olive-green-chiffon-printed-corset-body-woven-dress/p/13053993","https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/3/7/3776c72CH122_1.jpg?rnd=20200526195200&tr=w-256","https://www.nykaafashion.com/odette-olive-green-chiffon-printed-corset-body-woven-dress/p/13053993"
"MARVIZA","₹18,600","https://www.nykaafashion.com/marviza-blush-pink-body-cone-dress-with-detachable-sleeves-set-of-2/p/15370097","https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/4/e/4e3264dMRZ-000301_1.jpg?rnd=20200526195200&tr=w-256","https://www.nykaafashion.com/marviza-blush-pink-body-cone-dress-with-detachable-sleeves-set-of-2/p/15370097"
"MEDHA BATRA","₹17,000","https://www.nykaafashion.com/medha-batra-pink-body-con-solid-midi-dress/p/12892235","https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/a/5/a53988fMBEW2208_1.jpg?rnd=20200526195200&tr=w-256","https://www.nykaafashion.com/medha-batra-pink-body-con-solid-midi-dress/p/12892235"
"Lipsy","₹7,999","https://www.nykaafashion.com/lipsy-nude-twist-body-midi-dress/p/15523617","https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/4/2/42fc9dcHLIPSY00005962_1.jpg?rnd=20200526195200&tr=w-256","https://www.nykaafashion.com/lipsy-nude-twist-body-midi-dress/p/15523617"
"HATCH","₹10,476","https://www.nykaafashion.com/hatch-the-body-tank-maternity-dress/p/11956537","https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/5/0/5057c29HTCH-WD11_1.jpg?rnd=20200526195200&tr=w-256","https://www.nykaafashion.com/hatch-the-body-tank-maternity-dress/p/11956537"
"Kaveri","₹9,800","https://www.nykaafashion.com/kaveri-body-line-roots-dress-natural/p/13990507","https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/5/1/519dac2KAV-BLRDN-01_1.jpg?rnd=20200526195200&tr=w-256","https://www.nykaafashion.com/kaveri-body-line-roots-dress-natural/p/13990507"
"Kazo","₹1,196","https://www.nykaafashion.com/kazo-burgundy-ruched-body-con-midi-dress/p/7122770","https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/5/1/51a3c2f124638PRTR_1.jpg?rnd=20200526195200&tr=w-256","https://www.nykaafashion.com/kazo-burgundy-ruched-body-con-midi-dress/p/7122770"
"KASSUALLY","₹624","https://www.nykaafashion.com/kassually-pink-front-knotting-body-con-dress/p/10289696","https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/b/d/bd7ffe8CBKDRSS2007_1.jpg?rnd=20200526195200&tr=w-256","https://www.nykaafashion.com/kassually-pink-front-knotting-body-con-dress/p/10289696"
"Kaveri","₹9,800","https://www.nykaafashion.com/kaveri-body-line-roots-dress-blush/p/13990505","https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/5/1/519dac2KAV-BLRDB-01Blush_1.jpg?rnd=20200526195200&tr=w-256","https://www.nykaafashion.com/kaveri-body-line-roots-dress-blush/p/13990505"
