"selection1_image","selection1_cost","selection1_cost_url","selection1_name","selection1_name_url"
"https://images.meesho.com/images/products/296152477/fayp1_400.webp","₹236 onwards","https://www.meesho.com/women-short-kurti-stylish-western-wrap-tops-new-fashionable-printed-black-white/p/4wbkpp","Fancy Glamorous Women Tops & Tunics","https://www.meesho.com/women-short-kurti-stylish-western-wrap-tops-new-fashionable-printed-black-white/p/4wbkpp"
"https://images.meesho.com/images/products/224619550/bhza3_400.webp","₹223","https://www.meesho.com/new-trending-stylish-design-striped-collard-crepe-casual-dress-frocktopkurtitop/p/3pqdjy","Stylish Latest Women Tops & Tunics","https://www.meesho.com/new-trending-stylish-design-striped-collard-crepe-casual-dress-frocktopkurtitop/p/3pqdjy"
"https://images.meesho.com/images/products/189992340/o09ny_400.webp","₹221 onwards","https://www.meesho.com/stylish-women-dress-frockkurti/p/354710","Adrika Superior Tops & Tunics","https://www.meesho.com/stylish-women-dress-frockkurti/p/354710"
"https://images.meesho.com/images/products/108334196/xu4jv_400.webp","₹241 onwards","https://www.meesho.com/apex01tealtop/p/1shz78","Stylish Sensational Women & Tunics","https://www.meesho.com/apex01tealtop/p/1shz78"
"https://images.meesho.com/images/products/79026897/uzrxt_400.webp","₹207 onwards","https://www.meesho.com/rihan-fab-women-ethnic-dress-for-the-western-wear-style-comfort-style-full-flare-frocktopkurtitop/p/1b1tjl","Trendy Modern Women Tops & Tunics","https://www.meesho.com/rihan-fab-women-ethnic-dress-for-the-western-wear-style-comfort-style-full-flare-frocktopkurtitop/p/1b1tjl"
"https://images.meesho.com/images/products/226336376/w0c28_400.webp","₹320 onwards","https://www.meesho.com/dresses/p/3qr69k","Pretty Modern Women Tops & Tunics","https://www.meesho.com/dresses/p/3qr69k"
"https://images.meesho.com/images/products/344643180/jxmum_400.webp","₹303 onwards","https://www.meesho.com/stylish-fancy-women-dress/p/5p6wdo","Comfy Designer Women Tops & Tunics","https://www.meesho.com/stylish-fancy-women-dress/p/5p6wdo"
"https://images.meesho.com/images/products/178638113/sbaxf_400.webp","₹282 onwards","https://www.meesho.com/dresses-for-girls-dresses-for-women-dress-metirial-dress-dresses-dress-for-women-dress-material-dress-piece-dress-for-women-dress-for-womens-dress-for-womens-party-wear-dress-for-women-long-dress-dress-for-womens-dress-for-women-stylish-dress-for-girls-women-frocktopkurtitop/p/2ycu1t","Trendy Feminine Women Tops & Tunics","https://www.meesho.com/dresses-for-girls-dresses-for-women-dress-metirial-dress-dresses-dress-for-women-dress-material-dress-piece-dress-for-women-dress-for-womens-dress-for-womens-party-wear-dress-for-women-long-dress-dress-for-womens-dress-for-women-stylish-dress-for-girls-women-frocktopkurtitop/p/2ycu1t"
"https://images.meesho.com/images/products/366596013/kulmh_400.webp","₹251 onwards","https://www.meesho.com/women-dresses/p/629fal","Urbane Modern Women Tops & Tunics","https://www.meesho.com/women-dresses/p/629fal"
"https://images.meesho.com/images/products/385543003/0s9vd_400.webp","₹175 onwards","https://www.meesho.com/beautiful-maroon-plain-round-neck-rib-knit-regular-top-for-women/p/6djivv","Stylish Sensational Women Tops & Tunics","https://www.meesho.com/beautiful-maroon-plain-round-neck-rib-knit-regular-top-for-women/p/6djivv"
"https://images.meesho.com/images/products/394823787/gon5c_400.webp","₹242 onwards","https://www.meesho.com/bodyshuit-for-womenbodycon-dress-for-womenkorean-topsummer-top-for-girlsblack-tophalf-sleevs-top-for-girlsdeep-neck-topround-neck-top/p/6j2fzf","Classy Sensational Women Tops & Tunics","https://www.meesho.com/bodyshuit-for-womenbodycon-dress-for-womenkorean-topsummer-top-for-girlsblack-tophalf-sleevs-top-for-girlsdeep-neck-topround-neck-top/p/6j2fzf"
